x,y,condition
7.2942214,-30.23228,Clean
30.55271,12.7494,Clean
-41.044975,-15.769127,Clean
-4.0359626,-30.317257,Clean
14.896598,-29.642384,Clean
11.426794,-10.027053,Clean
12.429158,-23.704441,Clean
34.88445,-7.71822,Clean
11.395466,-20.645557,Clean
-1.9086814,-18.505856,Clean
-0.9576417,-25.849915,Clean
20.476702,-11.410409,Clean
-24.704552,-22.155998,Clean
0.4337871,-31.183071,Clean
23.03507,2.2628136,Clean
15.11144,-18.310707,Clean
2.5034149,20.932344,Clean
-17.299896,-27.027828,Clean
-9.234765,-26.581093,Clean
-9.022042,-19.542383,Clean
-11.751207,-25.38657,Clean
5.9554186,-33.954437,Clean
-29.668592,-18.72643,Clean
-44.56743,-3.856994,Clean
3.2476172,-33.32631,Clean
26.806084,6.6192966,Clean
11.625327,7.651397,Clean
5.031306,-17.896486,Clean
43.345245,3.1166348,Clean
25.35223,0.7636402,Clean
43.899914,-4.1929736,Clean
44.130966,-8.090778,Clean
-37.414722,-15.6179495,Clean
42.835293,-12.444995,Clean
-44.973015,-4.450737,Clean
32.015385,6.4781327,Clean
46.18021,1.5278451,Clean
-37.021126,-13.83739,Clean
9.322947,-33.33408,Clean
44.40428,2.37045,Clean
-36.45423,3.74619,Clean
37.504116,-4.7782044,Clean
11.560212,-17.768623,Clean
-27.02222,-20.427551,Clean
14.100185,7.354881,Clean
35.601875,-7.278139,Clean
-38.99845,5.034087,Clean
-36.87524,4.301167,Clean
8.514058,0.30136365,Clean
13.160643,11.715572,Clean
-10.015214,-22.231829,Clean
-42.924816,-5.9744534,Clean
-33.63224,4.103794,Clean
26.291142,3.185216,Clean
-16.145172,-25.098492,Clean
22.831928,3.222306,Clean
-5.48036,-24.904427,Clean
-26.074995,-6.329098,Clean
41.521347,-13.652715,Clean
38.989933,-7.719478,Clean
28.043491,-5.079021,Clean
13.184739,-19.539967,Clean
42.904655,-7.194687,Clean
17.558094,-25.54705,Clean
19.953901,17.29527,Clean
-13.031198,-23.318205,Clean
38.205944,-0.038272317,Clean
-27.759708,-2.1649756,Clean
-16.275066,-9.412925,Clean
-41.980556,0.16960332,Clean
-36.083473,-8.058291,Clean
-4.303766,-8.413248,Clean
-5.1651793,25.58852,Clean
21.115702,-16.063328,Clean
1.4191493,-26.269398,Clean
4.577889,-27.711601,Clean
-28.38851,-4.0515637,Clean
36.820995,9.589394,Clean
-15.894202,20.636469,Clean
-27.595318,34.01202,Clean
-15.478419,-10.416925,Clean
-39.779903,6.2423034,Clean
45.38321,0.18161078,Clean
-16.2395,18.023987,Benign Fluctuation
0.8741995,-18.507078,Benign Fluctuation
-31.178064,-1.553468,Benign Fluctuation
-14.220713,-12.774413,Benign Fluctuation
-20.621767,-16.618382,Benign Fluctuation
20.497744,13.737646,Benign Fluctuation
