x,y,label
-19.647333,6.1600285,Benign Fluctuation
-10.12943,20.319584,Benign Fluctuation
-37.18857,-8.951207,Benign Fluctuation
-3.2278852,-29.231297,Benign Fluctuation
-17.60758,-15.876403,Benign Fluctuation
17.097881,-15.559109,Benign Fluctuation
-36.684517,-4.3653107,Benign Fluctuation
6.0770097,-30.042599,Benign Fluctuation
-14.237854,-6.9440274,Benign Fluctuation
-27.017998,17.56492,Benign Fluctuation
-23.289862,19.235312,Benign Fluctuation
-34.756004,17.853458,Benign Fluctuation
-10.4796505,22.150827,Benign Fluctuation
-32.81136,7.4794426,Benign Fluctuation
-18.864973,25.352797,Benign Fluctuation
-19.906778,-28.235296,Benign Fluctuation
2.6364331,18.875954,Benign Fluctuation
8.407059,20.84702,Benign Fluctuation
10.64388,8.679851,Benign Fluctuation
4.2312083,-4.8596916,Benign Fluctuation
13.648909,29.444891,Benign Fluctuation
8.660428,33.200512,Benign Fluctuation
0.43284982,-13.00794,Benign Fluctuation
6.4452395,29.50091,Benign Fluctuation
-1.9980853,-29.531525,Benign Fluctuation
-17.157045,-6.5600505,Benign Fluctuation
11.507064,-24.566738,Benign Fluctuation
-35.606133,15.236268,Benign Fluctuation
-21.878561,14.985801,Benign Fluctuation
-40.792553,-5.394433,Benign Fluctuation
-22.601622,-14.780135,Benign Fluctuation
-2.3465607,23.84586,Benign Fluctuation
6.644964,-16.504755,Benign Fluctuation
-9.861526,-26.529055,Benign Fluctuation
22.861399,-20.018795,Benign Fluctuation
2.4229102,-23.09304,Benign Fluctuation
-28.463655,-23.34919,Benign Fluctuation
-0.68673205,24.51838,Benign Fluctuation
-10.918786,0.3751349,Benign Fluctuation
12.21935,-21.951462,Benign Fluctuation
12.291503,22.391672,Benign Fluctuation
-39.91559,8.117307,Benign Fluctuation
-21.523298,12.658267,Benign Fluctuation
-18.652784,-14.885353,Benign Fluctuation
-6.2935214,15.697766,Benign Fluctuation
-20.356789,-8.533324,Benign Fluctuation
9.271084,-1.6666955,Benign Fluctuation
-16.274244,-26.381622,Benign Fluctuation
17.166391,-2.9526076,Benign Fluctuation
-9.682448,-29.934414,Benign Fluctuation
-36.64104,2.2382321,Benign Fluctuation
-16.488056,26.302107,Benign Fluctuation
15.86176,-3.6599803,Benign Fluctuation
12.454214,-11.830507,Benign Fluctuation
-7.282436,-5.9916005,Benign Fluctuation
50.528744,11.774863,Benign Fluctuation
-4.278804,-29.602959,Benign Fluctuation
-9.799967,-31.316492,Benign Fluctuation
-17.657316,-10.937955,Benign Fluctuation
-30.708017,7.219291,Benign Fluctuation
8.433429,6.9131966,Benign Fluctuation
21.55399,-6.9656405,Benign Fluctuation
-30.094797,-4.264119,Benign Fluctuation
0.51184106,2.9486024,Benign Fluctuation
15.741771,-22.49914,Benign Fluctuation
4.2620883,-30.310732,Benign Fluctuation
14.858043,20.550943,Benign Fluctuation
-39.73846,11.200507,Benign Fluctuation
-8.466117,-2.8937178,Benign Fluctuation
-18.107994,13.657909,Benign Fluctuation
-24.211723,-15.494557,Benign Fluctuation
-19.511326,-13.869742,Benign Fluctuation
-7.8242865,-5.2212853,Benign Fluctuation
22.642412,-7.257304,Benign Fluctuation
-12.210393,-4.2028537,Benign Fluctuation
31.240194,8.567989,Benign Fluctuation
-30.28591,-7.4393334,Benign Fluctuation
14.0302,-5.746671,Benign Fluctuation
-29.004705,-20.80988,Benign Fluctuation
20.28326,-21.90643,Benign Fluctuation
9.6889925,-3.5709133,Benign Fluctuation
-13.488592,-27.805584,Benign Fluctuation
-16.604841,-11.317495,Benign Fluctuation
-13.459681,25.076889,Benign Fluctuation
3.7899356,7.746597,Benign Fluctuation
24.302536,-22.295483,Benign Fluctuation
-4.474785,-26.057707,Benign Fluctuation
42.08793,-7.4232254,Benign Fluctuation
47.003685,15.038296,Benign Fluctuation
12.304155,-24.045132,Benign Fluctuation
29.886946,12.305668,Benign Fluctuation
-24.475828,-20.404509,Benign Fluctuation
-20.078163,24.015593,Benign Fluctuation
40.6294,5.9425483,Benign Fluctuation
17.584795,4.671881,Benign Fluctuation
-4.7636495,3.6812446,Benign Fluctuation
40.662697,-7.476513,Benign Fluctuation
1.8473293,19.954456,Benign Fluctuation
43.3211,-6.594224,Benign Fluctuation
-17.371506,4.7498775,Benign Fluctuation
38.331516,-9.072457,Benign Fluctuation
6.147004,-31.627169,Benign Fluctuation
4.7486296,-22.042093,Benign Fluctuation
